EntryInL2	Notes
áss	æsir - pantheon of five gods: Odin/Othin, Frigg, Thor, Baldr and Týr
Óðinn	Óðinn - Odin/Othin; the highest of gods
sól	sól - the Sun
regin	regin - kings, rulers, gods
dvergr	dvergr/dvergur - a dwarf
mögr	mögr/mögur - son; descendant
Baldr	Baldr/Baldur - Odin´s/Othin´s son. Killed by his brother Höður with mistletoe, which Loki gave to him.
jötunn	jötunn - a giant
Mímir	Mímir - god of deep knowledge
kind	kindir - kinds (of men); descendants of mankind
Heimdallr	Heimdalur / Heimdallr. Most likely some kind of a ward. He is told to have great vision and great hearing. He has a horn called Gjallarhorn. 
Valföðr	Valföðr/Valföður - Valfather; a name for Othin/Odin
gull	gullnar töflur - godlen plates (reference to a chess-like game)
ginnheilög	ginnheilög - very holy
forn	fornar rúnar - ancient knowledge and mystery
Miðgarðr	Miðgarður - garden in the middle of, or around, a place settled by mankind
máni	Máni - the Moon
Iðavöllr	Iðavellir - name of very green fields
jötunheimr	Jötunheimr/Jötunheimur - home of the Giants
Brimir	Brimir - another name for Ýmir; the snow (brim) was made of Ýmir‘s blood
Durinn	Durinn - another one of the dwarf´s lords
Dvalinn	Dvalinn - name of a dwarf; reference to the recounting of dwarfs that created a human-like body which gods gave life to
Ái	Ái - name of a dwarf; reference to the recounting of dwarfs that created a human-like body which gods gave life to
Eikinskjaldi	Eikinskjaldi - name of a dwarf; reference to the recounting of dwarfs that created a human-like body which gods gave life to
Lofarr	Lofar/Lofarr - forfather of the dwarfs
Fjalarr	Fjalar/Fjalarr - name of a dwarf; reference to the recounting of dwarfs that created a human-like body which gods gave life to
þrír	þrír - three; 'uns þrír' - us three; gods create Dwarfs and dwarfs create man-like bodies until three of the gods´s kind come
Hænir	Hænir - name of one of the Æsir-gods
Yggdrasill	Yggdrasill - a tree in the middle of heaven which is the most holy place of gods
baðmr	baðmr/baðmur - a tree
Urðr	Urðr/Urður - the Past. One of three witches who decide the fate of men.
brunnr	brunnr/brunnur - a well; 'Urðar brunnur' - stands under one of the three roots of the ashes
Skuld	Skuld - the Future. One of three witches who decide the fate of men.
folkvíg	fólkvíg - manslaughter; war
Höðr	Höðr/Höður - a god of the Æsir kin; was blind but very strong
Frigg	Frigg - goddess wife of Odin and mother of Baldr. 
Loki	Loki. A mischievous being which seems to associate with the gods, but is also connected to the Jotuns. He causes Baldur's death and fights Heimdallr in Ragnarök 
Níðhöggr	Níð/Níðhöggr/Níðgöggur - a dragon/serpent who gnaws the roots of Yggdrasill in the low fields
Garmr	Garmr/Garmur - probably another name for Fenrir´s wolf – the hell hound who guards the the gates of Hell
gnipahelli	Gnipahellir - the Gnipa cave; probably a place where Garmr has its home
Surtr	Surtr/Surtur - a giant; the main opposer of the gods in the dooms´s day
valtívar	sverð valtíva - god's sward; (probably) Frey's sword
íviðja	íviðja - woman troll
mjötviðr	mjötviðr - ash of Yggdrasil
Ymir	Ymir/Ýmir - forfather of giants; the oldest living being
ginnungi	gap Ginnunga - emptiness between cold Niflheim and hot Muspellsheim
Burr	Burr's/Bur's synir - Bur’s sons (Odin/Othin, Vilji, Vé)
himinjódýr	himinjóðýr - heavenly horses, Night and Day, that drive from south to vest
ginnheilagr	ginnhelagr/ginnheilagur - very holy
undorn	un/undorn - noon (3 o´clock in the afternoon)
tefla	að tefla - 'tefldu í túni' played a chess kind of a game in the lawn/garden
ámáttigr	Powerful and / or dangerous
dróttinn	dróttinn - a lord; dverga dottinn - lord of dwarfs, Mótsognir
Mótsognir	Mótsognir - lord of the dwarfs
Nýi	Nýi - name of a dwarf; reference to the recounting of dwarfs that hold the Moon, whihc also created a a human-like body which gods gave life to
Niði	Níði - name of a dwarf; reference to the recounting of dwarfs that hold the Moon, which also created a a human-like body which gods gave life to
Norðri	Norðri - the North; name of a dwarf; reference to the recounting of dwarfs that hold the heaven, which had been created of Ýmir´s head; the dwarf created a human-like body which gods gave life tothe
