--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Völuspá																																													
Norn's Prophecy																																													
 																																													
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Hljóðs	bið	ek	allar	kindir	meiri	ok	minni	mögu	Heimdalar	vildu	að	ek	Valföðr	vel	fram	telja	forn	spjöll	fira	þau	er	fremst	um	man																					
Hearing	ask	I	all	mankind	of more status	and	of less status	relatives 	of Heimdal	want you	that	I 	Valfather	will	go on	talking	ancient	tales	of men	those	that	earliest	 	I remember																					
Hearing	I	ask	from	the	holy	races	From	Heimdall's	sons	both	high	and	low	Thou	wilt	Valfather	that	well	I	relate	Old	tales	I	remember																					
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Ek	man	jötna	ár	um	borna	þá	er	forðum	mik	fædda	höfðu	níu	man	ek	heima	níu	íviðjur	mjötvið	mæran	fyr	mold	neðan																							
I	remember	giants	early	about	born 	then	when	long time ago	me	fostered	had	nine	remember	I 	worlds	nine	troll women	ash-tree 	mighty	 	ground	beneath																							
I	remember	yet	the	giants	of	yore	Who	gave	me	bread	in	the	days	gone	by	Nine	worlds	I	knew	the	nine	in																							
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Ár	var	alda	þar	er	Ymir	byggði	var	a	sandr	né	sær	né	svalar	unnir	jörð	fannz	æva	né	upphiminn	gap	var	ginnunga	en	gras	hvergi																				
early	were	the times	there	where	Ymir 	lived	were	not	sands	nor	seas	nor	cold	waves	earth	was found	nowhere	neither	heaven above	space	was	huge	but 	grass	neither there																				
Of	old	was	the	age	when	Ymir	lived	Sea	nor	cool	waves	nor	sand	there	were	Earth	had	not	been	nor	heaven	above	But	a	yawning																				
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Áðr	Burs	synir	bjöðum	um	yppðu	þeir	er	Miðgarð	mæran	skópu	sól	skein	sunnan	á	salar	steina	þá	var	grund	gróin	grænum	lauki																							
Before then	Bur's	sons	level land	 	lifted up	they	who	Midgard	mighty	created	sun	shone	from south	on	earth's	stones	then	was	a ground	grown with	green	blades of grass																							
Then	Bur's	sons	lifted	the	level	land	Mithgarth	the	mighty	there	they	made	The	sun	from	the	south	warmed	the	stones	of	earth																							
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Sól	varp	sunnan	sinni	mána	hendi	inni	hægri	um	himinjódýr	sól	það	né	vissi	hvar	hon	sali	átti	stjörnur	það	né	vissu	hvar	þær	staði	áttu	máni	það	né	vissi	hvað	hann	megins	átti												
Sun	cast	from the south	companion of	Moon	hand	into	its right	over	heaven's horses	sun	that	neither	knew	where	her	palace	was	stars	that	neither	knew	where	their	place	was	moon	that	neither	knew	what	he	might	had												
The	sun	the	sister	of	the	moon	from	the	south	Her	right	hand	cast	over	heaven's	rim	No	knowledge	she	had	where	her	home	should	be	The	moon	knew	not	what	might	was	his												
